Shift_Condition,Augmentation,Rep_Distance,Proxy_Rank,Mean_Return,GT_Rank
Viewpoint_30deg,Color_Jitter_High,51.41770935058594,11,-141.92519523870382,3
Viewpoint_30deg,Color_Jitter_Med,62.165016174316406,12,-141.89767137746966,2
Viewpoint_30deg,Color_Jitter_Low,69.95089721679688,13,-141.8081163088481,1
Occlusion_15pct,Blur_K3,0.62191241979599,1,-141.94555075698435,11
Occlusion_15pct,Blur_K5,1.048585295677185,2,-141.94555075698435,12
Occlusion_15pct,Random_Shift_Low,1.2924495935440063,3,-141.94555075698435,5
Occlusion_15pct,Random_Shift_High,1.3236290216445923,4,-141.94555075698435,7
Occlusion_15pct,No_Augmentation,1.4009153842926025,5,-141.94555075698435,4
Occlusion_15pct,Cutout_Low,1.9736143350601196,6,-141.94555075698435,8
Occlusion_15pct,Random_Shift_Med,2.0267333984375,7,-141.94555075698435,6
Occlusion_15pct,Blur_K7,2.692960023880005,8,-141.94555075698435,13
Occlusion_15pct,Cutout_Med,3.0407638549804688,9,-141.94555075698435,9
Occlusion_15pct,Cutout_High,4.417374610900879,10,-141.94555075698435,10
Occlusion_15pct,Color_Jitter_High,51.2701416015625,11,-141.92512104738333,3
Occlusion_15pct,Color_Jitter_Med,62.29558563232422,12,-141.91196249288228,2
Occlusion_15pct,Color_Jitter_Low,67.5057373046875,13,-141.86145751816886,1
Blur_K7,Cutout_High,0.6506940126419067,1,-141.94555075698435,10
Blur_K7,Cutout_Med,2.767510414123535,2,-141.94555075698435,9
Blur_K7,Cutout_Low,4.4220805168151855,3,-141.94555075698435,8
Blur_K7,Random_Shift_High,4.636758327484131,4,-141.94555075698435,7
Blur_K7,Random_Shift_Med,4.648106098175049,5,-141.94555075698435,6
Blur_K7,Random_Shift_Low,4.74586820602417,6,-141.94555075698435,5
Blur_K7,No_Augmentation,4.800719261169434,7,-141.94555075698435,4
Blur_K7,Blur_K3,5.217403888702393,8,-141.94555075698435,11
Blur_K7,Blur_K5,5.889178276062012,9,-141.94555075698435,12
Blur_K7,Blur_K7,6.856696128845215,10,-141.94555075698435,13
Blur_K7,Color_Jitter_High,54.00693130493164,11,-141.9026119357064,3
Blur_K7,Color_Jitter_Med,62.67287063598633,12,-141.857081898432,2
Blur_K7,Color_Jitter_Low,70.31561279296875,13,-141.77575981125003,1
Compound_Level2,Cutout_High,35.81736373901367,1,-141.94555075698435,12
Compound_Level2,Cutout_Med,45.15782165527344,2,-141.94543348834634,11
Compound_Level2,Color_Jitter_High,45.42238998413086,3,-141.9300080030684,2
Compound_Level2,Cutout_Low,50.11772918701172,4,-141.94051067375005,6
Compound_Level2,Random_Shift_Low,50.685882568359375,5,-141.9264262082085,1
Compound_Level2,No_Augmentation,51.047115325927734,6,-141.94082401707064,7
Compound_Level2,Random_Shift_Med,51.60503387451172,7,-141.94101935984602,8
Compound_Level2,Color_Jitter_Med,51.663543701171875,8,-141.9361773615792,3
Compound_Level2,Random_Shift_High,52.60962677001953,9,-141.94005562804998,5
Compound_Level2,Blur_K3,52.914939880371094,10,-141.94260854456164,9
Compound_Level2,Blur_K5,53.032894134521484,11,-141.94630731741594,13
Compound_Level2,Color_Jitter_Low,54.297019958496094,12,-141.93621161059733,4
Compound_Level2,Blur_K7,54.82035446166992,13,-141.9429955425717,10
Compound_Level4,Cutout_High,35.71075439453125,1,-141.94555075698435,13
Compound_Level4,Color_Jitter_High,44.43589782714844,2,-141.94539863836204,11
Compound_Level4,Cutout_Med,46.95137023925781,3,-141.94555075698435,12
Compound_Level4,Random_Shift_Med,49.99361801147461,4,-141.94453244171453,10
Compound_Level4,Color_Jitter_Med,50.43484878540039,5,-141.94117221415993,7
Compound_Level4,Cutout_Low,50.76465606689453,6,-141.9129706401674,1
Compound_Level4,Random_Shift_High,51.07495880126953,7,-141.93344301231326,4
Compound_Level4,Blur_K3,51.105628967285156,8,-141.9401523578735,5
Compound_Level4,Random_Shift_Low,51.150630950927734,9,-141.94445833592192,9
Compound_Level4,No_Augmentation,51.33162307739258,10,-141.94092342626485,6
Compound_Level4,Blur_K5,51.66486358642578,11,-141.9280527550077,3
Compound_Level4,Color_Jitter_Low,53.30624771118164,12,-141.94229292907417,8
Compound_Level4,Blur_K7,55.46646499633789,13,-141.92357458122197,2
